The Raging Storm	凯特·卡里	2018年11月6日
Crowfeather's Trial	基立·鲍德卓	2018年9月4日
乌爪的旅程	丹·乔利	2018年6月26日
River of Fire	基立·鲍德卓	2018年4月10日
极夜无光	凯特·卡里	2017年11月7日
灰条历险记	丹·乔利	2017年8月8日
天空破碎	基立·鲍德卓	2017年4月11日
族群的传奇	维多利亚·霍姆斯	2017年4月11日
斑叶的心声	维多利亚·霍姆斯	2017年4月11日
松星的抉择	维多利亚·霍姆斯	2017年4月11日
雷星的怀响	Clarissa Hutton	2017年4月11日
鹰翅的旅程	基立·鲍德卓	2016年11月1日
族群情仇	凯特·卡里	2016年9月6日
学徒探索	基立·鲍德卓	2016年3月15日
族群的阴影	维多利亚·霍姆斯	2016年1月26日
乌爪的告别	维多利亚·霍姆斯	2016年1月26日
蛾飞的幻象	凯特·卡里	2015年11月3日
群星之路	凯特·卡里	2015年9月1日
鹅羽的诅咒	维多利亚·霍姆斯	2015年9月1日
占地为王	凯特·卡里	2015年4月7日
枫荫的复仇	维多利亚·霍姆斯	2015年3月24日
燃烧之星	基立·鲍德卓	2014年11月4日
族群的传说	维多利亚·霍姆斯	2014年11月4日
鸽翅的沉默	维多利亚·霍姆斯	2014年11月4日
黑莓星的风暴	基立·鲍德卓	2014年8月26日
叶池的希望	维多利亚·霍姆斯	2014年4月22日
首次战争	凯特·卡里	2014年4月8日
虎掌的愤怒	维多利亚·霍姆斯	2014年1月28日
雷电崛起	基立·鲍德卓	2013年11月5日
终极指南	维多利亚·霍姆斯	2013年11月5日
不为人知的故事	维多利亚·霍姆斯	2013年7月2日
高星的复仇	凯特·卡里	2013年7月2日
追随太阳	基立·鲍德卓	2013年3月5日
云星的旅程	维多利亚·霍姆斯	2013年1月29日
黄牙的秘密	基立·鲍德卓	2012年10月9日
雾星的征兆	维多利亚·霍姆斯	2012年9月11日
武士指南		2012年8月8日
进入族群	杜依·苏特兰	2012年6月26日
群星之战	凯特·卡里	2012年4月3日
洪水过后	丹·乔利	2012年4月3日
冬青叶的故事	维多利亚·霍姆斯	2012年3月13日
武士归来	基立·鲍德卓	2011年11月22日
超越守则	丹·乔利	2011年11月22日
救援	丹·乔利	2011年7月5日
钩星的承诺	凯特·卡里	2011年7月5日
月光印记	基立·鲍德卓	2011年4月5日
暗夜密语	凯特·卡里	2010年11月23日
天族外传	基立·鲍德卓	2010年8月3日
族群的战争	维多利亚·霍姆斯	2010年6月1日
战声渐近	凯特·卡里	2010年3月23日
族群救星	丹·乔利	2010年3月23日
武士之心	丹·乔利	2010年3月23日
第四学徒	基立·鲍德卓	2009年11月24日
和平破碎	丹·乔利	2009年11月24日
蓝星的预言	凯特·卡里	2009年7月28日
返回族群	丹·乔利	2009年6月9日
族群的守则	维多利亚·霍姆斯	2009年6月9日
拂晓之光	基立·鲍德卓	2009年4月21日
逃出森林	丹·乔利	2008年12月23日
暗夜长影	基立·鲍德卓	2008年11月25日
天蚀遮月	凯特·卡里	2008年9月2日
进入森林	丹·乔利	2008年9月2日
长鞭崛起	丹·乔利	2008年6月24日
族群的猫	维多利亚·霍姆斯	2008年6月24日
驱逐之战	基立·鲍德卓	2008年4月22日
武士回归	丹·乔利	2008年4月22日
暗河汹涌	凯特·卡里	2007年12月26日
武士避难	丹·乔利	2007年12月26日
火星的探索	基立·鲍德卓	2007年8月21日
族群的秘密	杜依·苏特兰	2007年5月29日
预视力量	凯特·卡里	2007年4月24日
武士失踪	丹·乔利	2007年4月24日
日落和平	基立·鲍德卓	2006年12月26日
黄昏战争	基立·鲍德卓	2006年8月22日
星光指路	基立·鲍德卓	2006年4月4日
重现家园	凯特·卡里	2005年12月27日
新月危机	基立·鲍德卓	2005年8月2日
午夜追踪	基立·鲍德卓	2005年5月10日
力挽狂澜	基立·鲍德卓	2004年10月5日
险路惊魂	基立·鲍德卓	2004年6月1日
风起云涌	凯特·卡里	2004年1月6日
疑云重重	基立·鲍德卓	2003年10月14日
寒冰烈火	凯特·卡里	2003年5月27日
呼唤野性	凯特·卡里	2003年1月21日
